France,Germany,Italy
78760,212189,61620
82357,218619,65136
86297,221926,68143
89475,219810,69791
89771,219801,70327
98937,223114,71825
105397,226134,72427
110882,229485,72467
117452,229292,72155
123368,228119,71991
127495,225181,71855
128260,221636,71585
133503,223818,72070
135642,221638,71078
139864,251510,69894
140587,0,69986
139529,201214,69528
138399,201780,68728
138750,192137,68695
137628,184000,67069
135047,205177,66851
133522,154859,66245
133542,176384,64902
134910,156244,63904
135680,144187,63748
134745,172822,63373
132050,166858,62679
131403,130952,61636
128337,128323,60993
124998,112165,60228
120697,109924,60244
117696,108452,60006
116885,83029,58561
93271,91591,50457
94597,94585,55864
89803,95278,57347
84517,109208,58983
80087,109122,59911
76130,109065,60567
75305,125396,61524
85595,97027,61903
73024,109232,60188
66738,100645,59336
61671,93820,57286
57229,89897,54856
54054,87603,52677
53298,84278,51789
48943,99511,56421
46117,74426,50594
43877,72063,47549
42064,69914,45401
40417,69453,43511
39360,69355,42030
39162,68505,41795
37653,67130,40908
36563,66101,40199
35394,63804,38880
34330,62320,38118
33258,61986,37482
32333,61837,36983
32130,58791,36462
30313,55226,34848
33701,50906,33168
32514,48036,31917
31308,45252,30172
30172,44920,28446
29333,44768,27097
0,41652,26561
26813,38379,24534
20812,35663,23565
19868,28940,22158
17079,28597,21444
17233,28439,20640
17158,28369,20190
17825,28005,19879
18270,28836,19018
18864,30092,18258
19454,35927,17808
22357,36086,16075
22584,35698,16673
23170,36072,16728
23386,27481,16838
20032,31724,17390
23980,35886,17976
26093,40912,18807
22516,44376,20567
0,44376,20517
15986,44662,21058
15102,59532,21351
38655,60631,22965
38391,62275,24377
40238,55166,26310
47454,57298,28333
47454,57299,30120
47454,57522,32255
62019,59987,33146
50417,63828,36492
54133,68145,39644
57957,79584,42553
62051,80880,45445
62051,80880,48574
62051,80003,50726
71033,82750,51886
78466,84853,54871
85146,86754,60668
92788,87455,64497
99331,88789,68853
99331,88789,73006
99331,89012,76376
110534,89750,78071
119013,89289,85050
123283,89679,87131
127272,90341,90581
129548,89948,92718
129548,89948,94570
129548,90110,95805
130703,91144,102501
127213,90699,104079
123360,93091,104304
100322,91943,104339
80179,95818,103778
80179,95818,102704
80179,95319,100909
95377,96171,93522
88550,98083,90242
83170,95865,86701
94723,95597,82830
105344,91164,79077
105344,91164,75904
105344,91164,73458
72778,88990,72325
66107,86244,67689
